NOTE: Follows only available for FEED/CAROUSEL — Instagram does not provide this metric for Reels. For Reels use Reach + Total Interactions. ⭐ = matched against influencer list.,,,,,,,,,,,
Post Date,Type,Influencer Collab,Caption (preview),Link,Follows (Feed only),Reach,Likes,Saves,Shares,Total Interactions,Profile Visits
2026-06-17,REELS,,“NELL uses Japanese technology to encourage movement in your sleep to help promote temperature regul...,https://www.instagram.com/reel/DZsf98jRAw2/,0,219,7,3,4,21,0
2026-06-15,FEED,,Swipe through to separate sleep facts from fiction ➡️  Our mattresses are precision-engineered for l...,https://www.instagram.com/p/DZnRUAzGwz-/,0,17,7,2,8,23,1
2026-06-15,FEED,,Swipe through to separate sleep facts from fiction ➡️  Our mattresses are precision-engineered for l...,https://www.instagram.com/p/DZnRUAzGwz-/,0,84,9,2,8,26,3
2026-06-15,FEED,,Swipe through to separate sleep facts from fiction ➡️  Our mattresses are precision-engineered for l...,https://www.instagram.com/p/DZnRUAzGwz-/,0,100,9,2,8,26,3
2026-06-15,FEED,,Swipe through to separate sleep facts from fiction ➡️  Our mattresses are precision-engineered for l...,https://www.instagram.com/p/DZnRUAzGwz-/,0,111,9,2,8,26,3
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,293,8,3,3,23,0
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,333,8,3,3,23,0
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,347,9,3,4,25,0
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,361,9,3,4,25,0
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,365,9,3,4,25,0
2026-06-12,REELS,,"Where wellness meets rest ☁️ A look back at our pop-up at @lifetime.irvine, celebrating recovery, ba...",https://www.instagram.com/reel/DZfhWJkRJl5/,0,369,9,3,4,25,0
2026-06-10,FEED,,"Exactly how better sleep should feel! Thoughtfully crafted, endlessly comfortable, and designed for ...",https://www.instagram.com/p/DZaZj9KxCsi/,0,105,6,3,2,20,2
2026-06-10,FEED,,"Exactly how better sleep should feel! Thoughtfully crafted, endlessly comfortable, and designed for ...",https://www.instagram.com/p/DZaZj9KxCsi/,0,124,6,3,2,20,3
2026-06-10,FEED,,"Exactly how better sleep should feel! Thoughtfully crafted, endlessly comfortable, and designed for ...",https://www.instagram.com/p/DZaZj9KxCsi/,1,138,7,3,2,21,5
2026-06-10,FEED,,"Exactly how better sleep should feel! Thoughtfully crafted, endlessly comfortable, and designed for ...",https://www.instagram.com/p/DZaZj9KxCsi/,1,149,7,3,2,21,5
2026-06-10,FEED,,"Exactly how better sleep should feel! Thoughtfully crafted, endlessly comfortable, and designed for ...",https://www.instagram.com/p/DZaZj9KxCsi/,1,159,7,3,3,22,5
